implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS old,16546,963168,0.155059,90.6016,90.0371,5.926837399860703e-06,2.879997522308792e-05,6.633492529009577e-06,1.0757768466960729e-05,1.7391260995970302e-05,32
EIBFS new,16546,963168,0.133872,89.5312,89.5312,5.878912801013841e-06,2.855393156090861e-05,6.492179360412242e-06,1.0758455336835485e-05,1.7250634697247727e-05,32
EIBFS new2,16546,963168,0.32099,89.4375,89.4375,1.155391118412132e-05,2.846216177837784e-05,1.2661992074024242e-05,2.1240926357994284e-05,3.390291843201852e-05,32
EIBFS old,17762,1036132,0.144488,96.8555,93.2344,5.9131489646113845e-06,2.871120680837549e-05,6.59042888345035e-06,1.0760665808977876e-05,1.7351094692428226e-05,32
EIBFS new,17762,1036132,0.125429,89.5312,89.5312,5.908207399966442e-06,2.869329172346143e-05,6.5733560920128165e-06,1.0763238448872416e-05,1.733659454088523e-05,32
EIBFS new2,17762,1036132,0.346185,89.4727,89.4727,1.1579854207543414e-05,2.8522401724939205e-05,1.2740727414799202e-05,2.123831625247021e-05,3.397904366726942e-05,32
EIBFS old,19714,1156200,0.106699,107.953,98.7148,5.884913784690296e-06,2.860036664420521e-05,6.511524098105903e-06,1.0756719429333828e-05,1.726824352743973e-05,32
EIBFS new,19714,1156200,0.0845136,92.5391,90.9902,5.861577088349128e-06,2.848200122565974e-05,6.441672931109532e-06,1.0758093169083338e-05,1.719976610019287e-05,32
EIBFS new2,19714,1156200,0.172193,89.4922,89.4922,5.891687290095706e-06,2.863723417759965e-05,6.533310504423795e-06,1.075480868222769e-05,1.7288119186651486e-05,32
EIBFS old,14258,823756,0.164448,89.6211,89.6211,5.93575262716084e-06,2.879792229796132e-05,6.642868092064658e-06,1.0774553068991111e-05,1.741742116105577e-05,32
EIBFS new,14258,823756,0.149746,89.457,89.457,5.920726702311056e-06,2.875895361825557e-05,6.616860571261041e-06,1.075646965847028e-05,1.737333022973132e-05,32
EIBFS new2,14258,823756,0.380209,89.4609,89.4609,1.1625391593234284e-05,2.8647788312009595e-05,1.2877920580106617e-05,2.1234744529121488e-05,3.4112665109228104e-05,32
EIBFS old,10514,597100,0.0780876,89.5117,89.5117,3.04137410884026e-06,2.8740123666974884e-05,3.402992166841312e-06,5.521384755405734e-06,8.924376922247047e-06,32
EIBFS new,10514,597100,0.0661274,89.6094,89.6094,3.0301042338063656e-06,2.859555110918081e-05,3.3678121386937487e-06,5.52349531920271e-06,8.891307457896458e-06,32
EIBFS new2,10514,597100,0.169041,89.375,89.375,5.894426398540868e-06,2.863515047963302e-05,6.537938563679069e-06,1.0758218054515112e-05,1.729615661819418e-05,32
EIBFS old,25090,1487304,0.148126,137.609,113.531,5.94840004198072e-06,2.8858047471395606e-05,6.678980620962449e-06,1.07755521524453e-05,1.7454532773407747e-05,32
EIBFS new,25090,1487304,0.121122,117.797,103.676,5.919745030421452e-06,2.874426544671585e-05,6.608247786595023e-06,1.0762201899788691e-05,1.7370449686383716e-05,32
EIBFS old,11394,649100,0.0833264,89.5195,89.5195,3.075461428235398e-06,2.9106831771407327e-05,3.51129530903882e-06,5.5131048512791386e-06,9.024400160317958e-06,32
EIBFS new,11394,649100,0.07119,89.625,89.625,3.0297492156044346e-06,2.865428720831812e-05,3.376374089980594e-06,5.513891629499312e-06,8.890265719479905e-06,32
EIBFS new2,11394,649100,0.177459,89.3711,89.3711,5.884883076199717e-06,2.860983097675069e-05,6.514643545042775e-06,1.0753509873737244e-05,1.7268153418780018e-05,32
EIBFS old,14978,866056,0.115511,89.5586,89.5586,5.868364749335184e-06,2.8500356335824635e-05,6.459729334447328e-06,1.0759953962016769e-05,1.7219683296464094e-05,32
EIBFS new,14978,866056,0.0981927,89.6211,89.6211,5.86933929375123e-06,2.850155809031469e-05,6.4615773914811214e-06,1.0760965534014134e-05,1.7222542925495257e-05,32
EIBFS old,13570,779184,0.125962,89.4688,89.4688,5.877169822613771e-06,2.8579918396491464e-05,6.495519640860314e-06,1.0750000593104405e-05,1.7245520233964717e-05,32
