implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,16546,963168,1.35521,89.4336,89.4336,4.042158110532824e-05,2.873554888114888e-05,4.494965151524699e-05,7.366036246776987e-05,0.000118610013983,32
MBK,16546,963168,0.961602,89.6211,89.6211,2.875334518944389e-05,2.857306995185124e-05,3.1686599793710746e-05,5.268502995752869e-05,8.437162975123943e-05,32
MBK2,16546,963168,0.654472,89.4141,89.4141,2.0195129687630347e-05,2.8587666725845963e-05,2.2285184772576072e-05,3.697386816741215e-05,5.925905293998823e-05,32
BK,17762,1036132,1.32726,89.4219,89.4219,4.012626739158622e-05,2.852638990973003e-05,4.408537832382986e-05,7.365808955291157e-05,0.0001177434678767,32
MBK,17762,1036132,0.890119,89.4414,89.4414,2.87246887389264e-05,2.854084025725447e-05,3.159674277736918e-05,5.269079966447663e-05,8.428754244184581e-05,32
BK,19714,1156200,0.397617,99.0078,97.1055,1.442891180387125e-05,2.850750709970376e-05,1.5849377957267985e-05,2.6489723681467586e-05,4.233910163873557e-05,32
MBK,19714,1156200,0.322419,89.6094,89.6094,1.1600816483350914e-05,2.85762659483947e-05,1.2798066349559156e-05,2.1242487425891456e-05,3.404055377545061e-05,32
MBK2,19714,1156200,0.226467,89.4727,89.4727,8.774906076718225e-06,2.869129831865445e-05,9.75028113354981e-06,1.59981360237893e-05,2.574841715733911e-05,32
BK,14258,823756,1.36463,89.5195,89.5195,4.0162554906224255e-05,2.855043549082137e-05,4.418618784891859e-05,7.36637593515141e-05,0.0001178499472004,32
MBK,14258,823756,1.02409,89.418,89.418,3.160826749074173e-05,2.855932129781621e-05,3.480221867509237e-05,5.7946677991931495e-05,9.274889666702386e-05,32
MBK2,14258,823756,0.683393,89.4961,89.4961,2.020813599449467e-05,2.861587112393584e-05,2.2328757029649315e-05,3.696846062821635e-05,5.929721765786567e-05,32
BK,10514,597100,0.609619,89.4766,89.4766,2.0097846011932148e-05,2.8462846133223524e-05,2.2008577329063472e-05,3.69650137902994e-05,5.897359111936287e-05,32
MBK,10514,597100,0.500037,89.6133,89.6133,1.7252910441482994e-05,2.847171998056108e-05,1.8906352347296262e-05,3.1719276159904554e-05,5.062562850720082e-05,32
MBK2,10514,597100,0.332426,89.5273,89.5273,1.1622947800668942e-05,2.863311941414615e-05,1.2861932789542951e-05,2.124356144060471e-05,3.4105494230147665e-05,32
BK,25090,1487304,0.876966,126.195,122.521,2.8670012908319817e-05,2.8488525490832898e-05,3.1433795980348456e-05,5.269330986165528e-05,8.412710584200373e-05,32
MBK,25090,1487304,0.629366,89.4648,89.4648,2.015207100693644e-05,2.8541827960943384e-05,2.217460968411549e-05,3.6958095137379136e-05,5.913270482149464e-05,32
MBK2,25090,1487304,0.411181,109.164,105.221,1.4388853053050106e-05,2.8424733639893608e-05,1.572822341590341e-05,2.6493332870445843e-05,4.222155628634925e-05,32
BK,11394,649100,0.548433,89.4336,89.4336,1.7272913698822443e-05,2.850142236687465e-05,1.8961589058147377e-05,3.172273548636469e-05,5.068432454451207e-05,32
MBK,11394,649100,0.434113,89.6133,89.6133,1.4461383665186322e-05,2.8573829450699445e-05,1.594840748093962e-05,2.648597711851437e-05,4.243438459945399e-05,32
MBK2,11394,649100,0.281728,89.6211,89.6211,8.763567766414428e-06,2.863821834951161e-05,9.708268877722803e-06,1.600687800401346e-05,2.5715146881736263e-05,32
MBK,14978,866056,0.631083,89.5195,89.5195,2.0126281169794573e-05,2.8504406086242185e-05,2.209819712298972e-05,3.69588319614266e-05,5.905702908441631e-05,32
MBK2,14978,866056,0.411254,89.4453,89.4453,1.442061396696596e-05,2.849038818795549e-05,1.5828151551405822e-05,2.648660154567324e-05,4.231475309707906e-05,32
BK,13570,779184,0.764578,89.4141,89.4141,2.3011853202757096e-05,2.853976235738781e-05,2.5314404973726667e-05,4.220982726849912e-05,6.752423224222579e-05,32
MBK,13570,779184,0.621621,89.4375,89.4375,2.0096131434893536e-05,2.8461004129868808e-05,2.2008678995821818e-05,3.69598809990535e-05,5.896855999487532e-05,32
MBK2,13570,779184,0.37953,89.4102,89.4102,1.1623496712558748e-05,2.863484166499585e-05,1.2866103626205104e-05,2.1241001289253347e-05,3.410710491545845e-05,32
BK,15138,877376,0.529321,89.4727,89.4727,1.7304208360041466e-05,2.855435242488963e-05,1.905461663256197e-05,3.172153658621966e-05,5.077615321878163e-05,32
